Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
853|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ИЦ Элит-профит МСК»|1087746091542|1087746091542|7727638631|№ 14 от 14.02.2011||ул. Веневская, д. 4, г. Москва, 117042
854|2011-02-14 00:00:00|Общество с ограниченной ответственностью «1-й Консалтинговый центр»|5087746250830|5087746250830|7727665177|№ 14 от 14.02.2011||ул. Каховка, д. 10, корп. 3, г. Москва, 117461
855|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ИЦ Элит-профит»|1027739727344|1027739727344|7710404441|№ 14 от 14.02.2011||пр-т Вернадского, д. 29, г. Москва , 119331
856|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Логистический центр»|1107746703943|1107746703943|7731655492|№ 14 от 14.02.2011||ул. Ярцевская, д. 34, стр. 1, г. Москва , 121552
857|2011-02-14 00:00:00|Общество с ограниченной ответственностью «1С»|1107746695980|1107746695980|7709860400|№ 14 от 14.02.2011||ул. Покровка, д. 14/2, стр. 1, пом. VI, г. Москва, 101000
858|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Компания ГАРАНТ-ЕКАТЕРИНБУРГ»|1106670031137|1106670031137|6670310739|№ 14 от 14.02.2011 (в ред. от 17.10.2012 № 246)||ул. Бажова, д. 68, г. Екатеринбург, Свердловская обл., 620075
859|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Иностудио Солюшинс»|1066154088714|1066154088714|6154101360|№ 14 от 14.02.2011||ул. Октябрьская,/2-й пер., д. 39/1, Ростовская обл., г. Таганрог, 347913
860|2011-02-14 00:00:00|Закрытое акционерное общество «Научно-производственное предприятие Интеллектуальные Кластерные Системы»|1067746581869|1067746581869|6154101360|№ 14 от 14.02.2011 (в ред. от 06.05.2013 № 99)||ш. Варшавское, д. 26, стр. 11, г. Москва, 117105
861|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Экономик Консультант»|1025100831030|1025100831030|5193403429|№ 14 от 14.02.2011||ул. Профсоюзов, д. 22, оф. 19, г. Мурманск, Мурманская обл., 183038
862|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Алайт»|1037709054723|1037709054723|7709428871|№ 14 от 14.02.2011||пер. Сусальный ниж., д. 5, стр. 19, г. Москва, 105064
863|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Гранд-Сервис»|1092130012776|1092130012776|2130065436|№ 14 от 14.02.2011||ул. Декабристов, д. 33А, г. Чебоксары, Чувашская Респ., 428022
864|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Информ-Стандарт»|1062130016211|1062130016211|2130011374|№ 14 от 14.02.2011||пр-т Мира, д. 1, г. Чебоксары, Чувашская Респ., 428024
865|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Техносбыт»|1096659008929|1096659008929|6659193965|№ 14 от 14.02.2011||ул. Техническая, д. 32, г. Екатеринбург, Свердловская обл., 620050
866|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Авро-Бус»|1027739051075|1027739051075|7716156361|№ 14 от 14.02.2011||ул. Палехская, д. 131, пом. 1, ком. 8, г. Москва, 129347
867|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Параллелз Софтвер»|1097746298495|1097746298495|7715759857|№ 14 от 14.02.2011||ш. Алтуфьевское, д. 44, г. Москва, 127566
868|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Ай Ти Проект»|1077761679808|1077761679808|7727629891|№ 14 от 14.02.2011||пр-т Вернадского, д. 8А, г. Москва, 119311
869|2011-02-14 00:00:00|Общество с ограниченной ответственностью «АПИ Волгоград»|1053477444547|1053477444547|3443068469|№ 14 от 14.02.2011||ул. Ангарская, д. 17, оф. 606, г. Волгоград, Волгоградская обл., 400081
870|2011-02-14 00:00:00|Общество с ограниченной ответственностью «РЦПИ «Акцент плюс»|1020202557649|1020202557649|274052025|№ 14 от 14.02.2011||б-р Молодежный, д. 10, г. Уфа, Респ. Башкортостан, 450071
871|2011-02-14 00:00:00|Акционерное общество «ИНИСТ»|1037739583232|1037739583232|7705126358|№ 14 от 14.02.2011|29.05.2018 полное наименование организации изменено с «Закрытое акционерное общество «Инист» на «Акционерное общество «ИНИСТ», (Савинова О.О.)|наб. Космодамианская, д. 40-42, корп. 3, г. Москва, 113035
872|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ИНИСТ»|1037739513987|1037739513987|7707086125|№ 14 от 14.02.2011||ул. Лесная, д. 43, г. Москва, 127055
873|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Системы управления»|1097746328756|1097746328756|7716643189|№ 14 от 14.02.2011||ул. Коминтерна, д. 20/2, г. Москва, 129327
874|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Ленвэа»|1077847481348|1077847481348|7811378879|№ 14 от 14.02.2011||ул. Грибакиных, д. 25, корп. 3, лит. А, пом. 60, г. Санкт-Петербург, 192012
875|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Индекс»|1086670004662|1086670004662|6670201521|№ 14 от 14.02.2011||ул. Первомайская, д. 44, оф. 12, г. Екатеринбург, Свердловская обл., 620075
876|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Научно-технический центр «Квазар»|1097746839035|1097746839035|7715790159|№ 14 от 14.02.2011||пр-д 11-й, д. 2, лит. А, г. Иваново, Ивановская обл., 153006
877|2011-02-14 00:00:00|Акционерное общество «Неофлекс Консалтинг»|1097746303050|1097746303050|7701839238|№ 14 от 14.02.2011 (в ред. от 18.03.2015 № 77)||ул. Вятская, д. 35, стр. 4, г. Москва, 127015
878|2011-02-14 00:00:00|Общество с ограниченной ответственностью фирма «Консультант-Ставропольская Консультационно-Информационная Фирма»|1022601972425|1022601972425|2635033080|№ 14 от 14.02.2011; (в ред. от 27.01.2012 № 25)||ул. Тельмана, д. 151, г. Ставрополь, Ставропольский край, 355000
879|2011-02-14 00:00:00|Акционерное общество «Центр компьютерных разработок»|1037861010241|1037861010241|7838005183|№ 14 от 14.02.2011|10.08.2017 полное наименование организации изменено с «Открытое акционерное обещство «Центр компьютерных разработок» на «Акционерное обещство «Центр компьютерных разработок», (Савинова О.О.)|пл. Исаакиевская, д. 6, г. Санкт-Петербург, 190107
880|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Си Кью Джи Ай Рус»|1067746795104|1067746795104|7707593904|№ 14 от 14.02.2011||ул. Садовая-Каретная, д. 10/5, стр. 1, г. Москва, 127006
882|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Регистрационно-процессинговый центр «Партнер»|1036405414330|1036405414330|6454066437|№ 14 от 14.02.2011||ул. Б. Садовая, д. 239, корп. 42, оф. 422, г. Саратов, Саратовская обл., 410005
883|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Консультант-Прикамье»|1045900094437|1045900094437|5902194995|№ 14 от 14.02.2011||ул. Куйбышева, д. 118, оф. 303, Пермский край, г. Пермь, 614033
884|2011-02-14 00:00:00|Общество с ограниченной ответственностью «КонсультантПлюс:РегиональныеТехнологии»|1067203305850|1067203305850|7202148796|№ 14 от 14.02.2011||ул. Ленина, д. 38 , кор. 1, г. Тюмень, Тюменская обл., 625000
885|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Издательство Волга»|1096952000177|1096952000177|6950095555|№ 14 от 14.02.2011||ул. Александра Завидова, д. 24, оф. 15, г. Тверь, Тверская обл., 170002
886|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Поли-Софт»|1045403202514|1045403202514|5407265754|№ 14 от 14.02.2011||ул. Фабричная, д. 4, г. Новосибирск, Новосибирская обл., 630007
887|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Компьютерный Центр «Гармония Плюс»|1021401052188|1021401052188|1435127646|№ 14 от 14.02.2011 ( в ред. от 31.03.2014 № 70)||ул. Лермонтова, д. 33, корп. 1, г. Якутск, Респ. Саха (Якутия), 677000
888|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ТверьИнформПродукт»|1066950065907|1066950065907|6950016095|№ 14 от 14.02.2011||пр-т Калинина, д. 1Б, г. Тверь, Тверская обл., 170001
889|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центр обработки нормативной информации»|1089847023342|1089847023342|7838400151|№ 14 от 14.02.2011||пр-т Московский, д. 7, лит. А, пом. 6Н, г. Санкт-Петербург, 190031
890|2011-02-14 00:00:00|Закрытое акционерное общество «НАУЧНЫЙ ЦЕНТР ИНТЕРНЕТ-ТЕХНОЛОГИЙ «ИНТЕРТЕХ»|1027700132107|1027700132107|7736196002|№ 14 от 14.02.2011||пр-т Ленинский, д. 6, г. Москва, 119991
891|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центр обработки нормативно-технической информации»|1089847022550|1089847022550|7839374063|№ 14 от 14.02.2011||ул. Бумажная, д. 3, лит. А, пом. 4Н, г. Санкт-Петербург, 190020
892|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Аксиома-Софт»|5067847294224|5067847294224|7814352244|№ 14 от 14.02.2011||пр-кт Испытателей, д. 20, г. Санкт-Петербург, 197227
893|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центр обслуживания и продаж «Северо-Западный»|1089847100430|1089847100430|7842380042|№ 14 от 14.02.2011||ул. Некрасова, д. 40, лит. А, пом. 11-Н, г. Санкт-Петербург, 191014
894|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Лицензионный центр «Кодекс»|1079847132694|1079847132694|7838397942|№ 14 от 14.02.2011||ул. Рузовская, д. 16, лит. А, пом. 3Н, г. Санкт-Петербург, 190013
895|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центр обработки правовой информации»|1089847024002|1089847024002|7842376247|№ 14 от 14.02.2011||ул. Шпалерная, д. 51, лит. А, пом. 14Н, г. Санкт-Петербург, 191015
896|2011-02-14 00:00:00|Общество с ограниченной ответственностью «БАРС-Бюджет»|1071690043094|1071690043094|1655140787|№ 14 от 14.02.2011||ул. Право-Булачная, д. 33, Респ. Татарстан, г. Казань, 420111
897|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ИНДИВИД»|1037600200681|1037600200681|7603019854|№ 14 от 14.02.2011||ул. Саукова, д. 9, кв. 115, г. Ярославль, Ярославская обл., 150051
898|2011-02-14 00:00:00|Общество с ограниченной ответственностью «КАМИН-СОФТ»|1024001178233|1024001178233|4027035671|№ 14 от 14.02.2011||пер. Теренинский, д. 6, оф. 403, г. Калуга, Калужская обл., 248023
899|2011-02-14 00:00:00|Закрытое акционерное общество «КАМИН»|1024001177309|1024001177309|4027019912|№ 14 от 14.02.2011||Теренинский пер., д. 6, оф. 403, Калужская обл., г. Калуга, 248023
900|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Симбирские Информационные Технологии»|1077325005009|1077325005009|7325070726|№ 14 от 14.02.2011||ул. Рылеева, д. 17, г. Ульяновск, Ульяновская обл., 432063
901|2011-02-14 00:00:00|Общество с ограниченной ответственностью «М-СТАЙЛ»|1027809248026|1027809248026|7825352662|№ 14 от 14.02.2011||пр-т Лиговский, д. 43/45, г. Санкт-Петербург, 191040
902|2011-02-14 00:00:00|Общество с ограниченной ответственностью «НОВИНТЕЛ»|1105473004988|1105473004988|5408279534|№ 14 от 14.02.2011||ул. Кутателадзе, д. 4г, оф. 522, г. Новосибирск, Новосибирская обл., 630000
903|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ИЦ Элит-профит СПБ»|1089847018062|1089847018062|7842376007|№ 14 от 14.02.2011||ул. Кирочная, д. 40, лит. А, пом. 7-Н, г. Санкт-Петербург, 191123
904|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Виктория ИТ-сервис»|1097746233727|1097746233727|7720658413|№ 14 от 14.02.2011||ш. Энтузиастов, д. 29, корп. 4-5, оф. 1353, г. Москва, 105275
905|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Неосистемы Северо-Запад ЛТД»|1021000515392|1021000515392|1001138684|№ 14 от 14.02.2011||пр-т Ленинский, д. 161, корп. 2,лит. А, пом. 4Н, г. Санкт- Петербург, 196066
906|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Техносерв Менеджмент»|1057746104899|1057746104899|7722536788|№ 14 от 14.02.2011||ул. Смирновская, д. 10, корп. 3, г. Москва, 109052
907|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ЮрРегионИнформ»|1047855123810|1047855123810|7839305479|№ 14 от 14.02.2011||ул. Красноармейская 10-я, д. 17, оф. 121, г. Санкт-Петербург, 190103
908|2011-02-14 00:00:00|Общество с ограниченной ответственностью «КАДИС»|1027812402782|1027812402782|7827004830|№ 14 от 14.02.2011||пр-т Ленина, д. 8, лит. А, г. Санкт-Петербург, г. Кронштадт, 197760
909|2011-02-14 00:00:00|Общество с ограниченной ответственностью «СМАРТ-СОФТ»|1035004259971|1035004259971|5022032904|№ 14 от 14.02.2011||ул. Сапожковых, д. 15, г. Коломна, Московская обл., 140408
910|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Регион Инком»|1087746519695|1087746519695|7729600464|№ 14 от 14.02.2011||ул. Озерная, д. 46, г. Москва, 119361
911|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Октавиан. СПб»|1057810212998|1057810212998|7839313254|№ 14 от 14.02.2011||наб. Выборгская, д. 61, оф. 254, г. Санкт-Петербург, 197342
912|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Тектон Право»|1064028018812|1064028018812|4028037061|№ 14 от 14.02.2011||ул. Московская, д. 231, г. Калуга, Калужская обл., 248021
913|2011-02-14 00:00:00|Акционерное общество «АРБИС: ПРИКЛАДНЫЕ РЕШЕНИЯ»|1022900520224|1022900520224|2901109550|№ 14 от 14.02.2011|06.02.2019 полное наименование организации изменено с «Закрытое акционерное общество «АРБИС: ПРИКЛАДНЫЕ РЕШЕНИЯ» на «Акционерное общество «АРБИС: ПРИКЛАДНЫЕ РЕШЕНИЯ», (Савинова О.О.)|ул. Логинова, д. 7, кв. 26, г. Архангельск, Архангельская обл., 163000
914|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ТрэвелСофт»|1107746221329|1107746221329|7705913330|№ 14 от 14.02.2011||1-й Щипковский пер., д. 1, г. Москва, 115093
915|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ЛайтСофт Рисерч»|1027739332884|1027739332884|7709367650|№ 14 от 14.02.2011 (в ред. от 21.08.2012 № 206)||ул. Покровка, д. 34, корп. 1, г. Москва, 103062
916|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ЛайтСофт Трэвел»|1047796682229|1047796682229|7701556751|№ 14 от 14.02.2011||ул. Ладожская, д. 10, г. Москва, 105005
917|2011-02-14 00:00:00|Общество с ограниченной ответственностью «АСП-Автоматизация»|1106672019486|1106672019486|6672326445|№ 14 от 14.02.2011||ул. Щорса, д. 7, оф. 276, г. Екатеринбург, Свердловская обл., 620142
918|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Апекс Софт»|1093254002291|1093254002291|3250510240|№ 14 от 14.02.2011||ул. Горького, д. 30, г. Брянск, Брянская обл., 241050
919|2011-02-14 00:00:00|Общество с ограниченной ответственностью «БАРС Груп»|1071690071001|1071690071001|1655148257|№ 14 от 14.02.2011||ул. Петербургская, г. Казань, Респ. Татарстан, д. 52, 420107
920|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Телесофт»|1107847395930|1107847395930|7813487640|№ 14 от 14.02.2011||ул. Красного Курсанта, д. 25, лит. В, г. Санкт-Петербург, 197110
922|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Фирма СтройСофт»|1027700324728|1027700324728|7702193388|№ 14 от 14.02.2011 ( в ред. от 30.05.2014 № 144)||пер. Погорельский, д. 6, г. Москва, 119017
923|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Информационные системы»|1097746329163|1097746329163|7724708633|№ 14 от 14.02.2011||ул. Генерала Белова, д. 19, корп. 4, г. Москва, 115563
924|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Телефонные Системы»|1077746182315|1077746182315|7701700959|№ 14 от 14.02.2011||ул. Бакунинская, д. 41, стр. 1, г. Москва, 105082
925|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Дон-Информ»|1056163032452|1056163032452|6163074419|№ 14 от 14.02.2011||ул. Красноармейская, д. 103, корп. 123, г. Ростов-на-Дону, Ростовская обл., 344010
926|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Протос»|1042311702641|1042311702641|2320857542|№ 14 от 14.02.2011||ул. Пионерская, д. 14, г. Сочи, Краснодарский край, 354000
927|2011-02-14 00:00:00|Общество с ограниченной ответственностью «РД КОНСАЛТИНГ»|1107746355815|1107746355815|7743778869|№ 14 от 14.02.2011||ул. Парковая 15-я, д. 18, стр. 2, г. Москва, 105077
928|2011-02-14 00:00:00|Закрытое акционерное общество «Дабл Би»|1097746178364|1097746178364|7703697540|№ 14 от 14.02.2011||ул. Твардовского, д. 8, корп. 1, г. Москва, 123458
929|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Пресс-Информ»|1046165027292|1046165027292|6165118622|№ 14 от 14.02.2011||пер. Семашко, д. 117, г. Ростов-на-Дону, Ростовская обл., 344018
930|2011-02-14 00:00:00|Общество с ограниченной ответственностью «СПЕЦ-ИНФОРМ»|1026103051281|1026103051281|6162035897|№ 14 от 14.02.2011||пер. Жлобинский, д. 25, г. Ростов-на-Дону, Ростовская обл., 344033
931|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Софт-Информ»|1086164008270|1086164008270|6164282394|№ 14 от 14.02.2011||ул. Шаумяна, д. 6, г. Ростов-на-Дону, Ростовская обл., 344082
932|2016-06-27 00:00:00|Общество с ограниченной ответственностью Центр Информационных Технологий «Консультант» (бывш. «Закрытое акционерное общество «Центр Правовой Информации «КОНСУЛЬТАНТ»)|1166952063520|1036900040980|6950194203|№ 14 от 14.02.2011|14.02.2018 полное наименование организации изменено с Закрытое акционерное общество «Центр Правовой Информации «КОНСУЛЬТАНТ» на «Общество с ограниченной ответственностью «Общество с ограниченной ответственностью Центр Информационных Технологий «Консультант», ОГРН изменен с «1036900040980» на «6950194203», ИНН с «6950194203» на «6163154865» (Савинова О.О.)|ул. Советская, д. 45, корп. 2, г. Тверь, Тверская обл., 170000
933|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ВИТ-Центр»|1099847002815|1099847002815|7802486966|№ 14 от 14.02.2011||ул. Комсомола, д. 2, г. Санкт-Петербург, 195009
934|2011-02-14 00:00:00|Закрытое акционерное общество «Электронные и компьютерные технологии»|1027700296117|1027700296117|7729053028|№ 14 от 14.02.2011||пр-кт Мичуринский, д. 27, корп. 2, г. Москва, 119607
935|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центр Информправо»|1027403889480|1027403889480|7453039150|№ 14 от 14.02.2011||ул. Красная, д. 4, оф. 519, Челябинская обл., г. Челябинск, 454091
936|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ДатаАрт-Воронеж»|1073667028160|1073667028160|3664083708|№ 14 от 14.02.2011||ул. Станкевича, д. 36, оф. 400, г. Воронеж, Воронежская обл., 394006
937|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Философт»|1083668009259|1083668009259|3664089322|№ 14 от 14.02.2011||ул. Станкевича, д. 36, оф. 300, г. Воронеж, Воронежская обл., 394006
938|2011-02-14 00:00:00|Общество с ограниченной ответственностью «НЕВОСОФТ»|1067847266376|1067847266376|7802346246|№ 14 от 14.02.2011||пр-т Б. Сампсониевский, д. 38-40, лит. А, пом. 9Н, г. Санкт-Петербург, 194044
939|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ВЕСЬ УЧЕТ»|1027739927280|1027739927280|7711004140|№ 14 от 14.02.2011||ул. Дегунинская, д. 1, корп. 3, г. Москва, 127486
940|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Хомнет Консалтинг»|1067746170392|1067746170392|7724567020|№ 14 от 14.02.2011||ул. Луганская, д. 7, корп. 2, г. Москва, 115304
941|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Рукарта»|1067746150669|1067746150669|7715589482|№ 14 от 14.02.2011||ул. Пришвина, д. 8, г. Москва, 127549
942|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Спектр-Автоматика консалтинг»|1047600404565|1047600404565|7604065476|№ 14 от 14.02.2011 (в ред. от 27.01.2012 № 25)||ул. Володарского, д. 103, оф. 207, г. Ярославль, Ярославская обл., 150040
943|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Комкон ОКБ»|1077764492630|1077764492630|7708658777|№ 14 от 14.02.2011||пер. Уланский, д. 11А, стр. 1, г. Москва, 101000
944|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Бизнес решения»|1086174000109|1086174000109|6143070536|№ 14 от 14.02.2011||ул. Васильковая, д. 8, г. Волгодонск, Ростовская обл., 347375
945|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Агентство деловой информации»|1025801365479|1025801365479|5836305477|№ 14 от 14.02.2011||ул. Калинина, д. 91, г. Пенза, Пензенская обл., 440000
946|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Консультант Регион Сервис»|1025801365479|1025801365479|5836305477|№ 14 от 14.02.2011||ул. Калинина, д. 91, г. Пенза, Пензенская обл., 440000
947|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Консультант Пенза»|1105809000483|1105809000483|5829731298|№ 14 от 14.02.2011||ул. Калинина, д. 89, г. Пенза, Пензенская обл., 440034
948|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ДАТАТЕХ»|1070274002688|1070274002688|274118170|№ 14 от 14.02.2011||ул. Кирова, д. 52, г. Уфа, Респ. Башкортостан, 450078
949|2011-02-14 00:00:00|Общество с ограниченной ответственностью «1АБ Учебный центр»|1077762011590|1077762011590|7715672846|№ 14 от 14.02.2011||ул. Ботаническая, д. 14, оф. 21, г. Москва, 127276
950|2011-02-14 00:00:00|Закрытое акционерное общество «ИРМ Девелопмент»|1087746307802|1087746307802|7725631133|№ 14 от 14.02.2011||пер. Перервинский, д. 14, кор. 2, пом. 2, ком.2, г. Москва, 109469
951|2011-02-14 00:00:00|Общество с ограниченной ответственностью «АЮ»|1030800751992|1030800751992|814142780|№ 14 от 14.02.2011||ул. А. С. Пушкина, д. 20, оф. 407, г. Элиста, Респ. Калмыкия, 358009
952|2011-02-14 00:00:00|Общество с ограниченной ответственностью НПО «Компьютер» (бывш. Закрытое акционерное общество НПО «Компьютер»)|1151831003466|1151831003466|1831173910|№ 14 от 14.02.2011 (в ред. от 15.07.2015 № 249)||ул. Школьная, д. 11, г. Ижевск,Респ. Удмуртская, 426033
953|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Акелон»|1097746164240|1097746164240|7725666217|№ 14 от 14.02.2011||ул. Ленинская Слобода, д. 19, комн. 21, г. Москва, 115280
954|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центр Правовой Информации «Консультант»|1036900088873|1036900088873|6901043498|№ 14 от 14.02.2011||ул. Советская, д. 45, корп. 2, г. Тверь, Тверская обл., 170100
955|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ДИРЕКТУМ»|1031801962092|1031801962092|1835056809|№ 14 от 14.02.2011||пер. Северный, д. 61, г. Ижевск, Респ. Удмуртская, 426011
956|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Компьютер Софт»|1051802243536|1051802243536|1835065240|№ 14 от 14.02.2011||пер. Северный, д. 61, г. Ижевск, Респ. Удмуртская, 426011
957|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Компьютер Консалт»|1021801153197|1021801153197|1831064774|№ 14 от 14.02.2011||ул. Школьная, д. 11, г. Ижевск, Респ. Удмуртская, 426003
958|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Автоматизация 2000»|1077746183063|1077746183063|7722600105|№ 14 от 14.02.2011||ул. Пруд Ключики, д. 3, г. Москва, 111024
959|2011-02-14 00:00:00|Общество с ограниченной ответственностью «АВИАЛЬ-Р»|1027700279386|1027700279386|7707249186|№ 14 от 14.02.2011||ул. Пруд Ключики, д. 3, г. Москва, 111024
960|2011-02-14 00:00:00|Общество с ограниченной ответственностью «1С-АВТОМАТИЗАЦИЯ»|1027700109161|1027700109161|7709239948|№ 14 от 14.02.2011||ул. 1-я Энтузиастов, д. 12А, г. Москва, 111024
961|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Гарант-ЦМИКИ»|1095262011976|1095262011976|5262247653|№ 14 от 14.02.2011||пр-т Гагарина, д. 50, корп. 15, оф. 240, г. Нижний Новгород, Нижегородская обл., 603057
962|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Информ-Сервис»|1031644200389|1031644200389|1648012449|№ 14 от 14.02.2011||ул. Зинина, д. 3, г. Казань, Респ. Татарстан, 420097
963|2011-02-14 00:00:00|«Общество с ограниченной ответственностью «Гарант Софт» (бывш. Закрытое акционерное общество «Гарант Софт»)|1151690017709|1151690017709|1655322152|№ 14 от 14.02.2011 (в ред. от 27.05.2011 № 122, в ред. от 18.03.2015 № 77)||ул. Зинина, д. 3, г. Казань, Респ. Татарстан, 420097 (бывш. ул. Амирхана, д. 41, кв. 56, Респ. Татарстан, г. Казань, 420126)
964|2011-02-14 00:00:00|Закрытое акционерное общество «Новые коммуникационные технологии»|1025202837615|1025202837615|5259019343|№ 14 от 14.02.2011||ш. Московское, д. 213а, г. Нижний Новгород, Нижегородская обл., 603079
965|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Центропарк»|1051622046520|1051622046520|1655093583|№ 14 от 14.02.2011||ул. Зинина, д. 3, г. Казань, Респ. Татарстан, 420097
966|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Информационные системы сервиса Арт»|1055504018900|1055504018900|5503087920|№ 14 от 14.02.2011||ул. Северная 33-я, д. 27, кв. 141, г. Омск, Омская обл., 644116
967|2011-02-14 00:00:00|Общество с ограниченной ответственностью Научно-Технический центр «Сонар-Плюс»|1022301599594|1022301599594|2310046369|№ 15 от 14.02.2011||ул. Щорса, д. 49, г. Краснодар, Краснодарский край, 350024
968|2011-02-14 00:00:00|Общество с ограниченной ответственностью «ИНФИН систем»|1037739994027|1037739994027|7713513946|№ 15 от 14.02.2011 (в ред. от 27.05.2011 № 122)||ул. Б. Академическая, д. 5, стр. 3, г. Москва, 127299
969|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Автоматизированные системы топливно-энергетического комплекса»|1053301600362|1053301600362|3328439073|№ 15 от 14.02.2011||ул. Лакина, д. 8, г. Владимир, Владимирская обл., 600026
970|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Пульс-Про»|1045404722560|1045404722560|5445117161|№ 15 от 14.02.2011||ул. Ленина, д. 89/8, оф. 509, г. Бердск, Новосибирская обл., 633010
971|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Софтинфо»|1022700922331|1022700922331|2721071259|№ 15 от 14.02.2011||ул. Ленина, д. 18В, эт. 5, оф. 505, г. Хабаровск, Хабаровский край, 680013
972|2011-02-14 00:00:00|Общество с ограниченной ответственностью «Диалог Информационные Технологии»|1079847063922|1079847063922|7840354865|№ 15 от 14.02.2011||ул. Тобольская, д. 6, лит. А, эт. 3, г. Санкт-Петербург, 194044
